Conta Gerencial;Exemplo de Uso
AP Maquinas e Equipamentos;TOCHA MIG TMCE-400 5 MTS COMPLETO C/RASPA
AP Maquinas e Equipamentos;PISTOLA ARPREX MILENIUM HVLP 1.3 MM
AP Maquinas e Equipamentos;CONJUNTO DE TELECOMANDO F26
AP Maquinas e Equipamentos;CARRO COLETOR 40A/54P PE+3F
AP Maquinas e Equipamentos;DILUENTE 9800 ALQUIDICO 18,00 LITROS
AP Maquinas e Equipamentos;TINTA 131 DF S/B AZUL RAL 5005 BD 18 LITROS
AP Maquinas e Equipamentos;TINTA AMARELO SEGURANÇA 18,00 LITROS
AP Maquinas e Equipamentos;AR CONDICIONADO SPLIT HI WALL LG DUAL INVERTER COMPACT 18.000 BTUS FRIO 220V Frio R-32
AP Maquinas e Equipamentos;AR CONDICIONADO SPLIT HI WALL LG DUAL INVERTER COMPACT 18.000 BTUS FRIO 220V Frio R-32
AP Maquinas e Equipamentos;150MM 6 POLEGADAS LCD DIGITAL MEDIDOR VERNIER CALIPER
AP Maquinas e Equipamentos;CIMAF CABO DE AÇO POL AF FAIXA AMARELA 1/2 (6X41)
AP Maquinas e Equipamentos;IPAD 9 GERAÇÃO
AP Maquinas e Equipamentos;CATRACAO N3195
AP Maquinas e Equipamentos;SELADOR MANUAL 25 MM N7480
AP Maquinas e Equipamentos;MICROMETRO DIGITAL LCD CARBONO
AP Maquinas e Equipamentos;ALICATE AMPERIMETRO MINIPA ET3200
AP Maquinas e Equipamentos;CADEIRA EXECUTIVA BASE GIRATORIA C BR TEC PTO
AP Maquinas e Equipamentos;BALANÇA BS20 5000KG X 2KG
AP Maquinas e Equipamentos;PROCESSADOR INTEL CORE I3 10105 3.70GHZ 6MB LGA 1200
AP Maquinas e Equipamentos;MONITOR LENOVO 19.5 LED E20-1B VGA-HDMI 63A0KAR1BR
AP Maquinas e Equipamentos;PLACA MAE P/INTEL ASSUS H510M-K 2.0 DDR4 LGA 1200 MATX
AP Maquinas e Equipamentos;MEMORIA RAM 8GB DDR4 3200MHRZ KINGSTON FURY BEAST
AP Maquinas e Equipamentos;HD SSD 256 GB PATRIOT BURST SATA III
AP Maquinas e Equipamentos;GABINETE PC C/FONTE 230W
AP Maquinas e Equipamentos;TECLADO  USB
AP Maquinas e Equipamentos;MOUSE USB
AP Maquinas e Equipamentos;MEMORIA RAM
AP Móveis;MESA DIRETIVA PARA ARMARIO 1500 X 700 LINHA PRIMA IMPACT CARVALHO SMOKED/GRAFITE
AP Móveis;ARMARIO DIRETIVA COM PORTA ESQUERDA E RECOTE LINHA PIRMA IMPACT CARBVALHO SMOKED GRAFITE
AP Móveis;ARMARIO DIRETIVA COM PORTA DIREITA E RECORTE LINHA PRIMA IMPACT CARVALHO SMOKED GRAFITE
AP Móveis;ARMARIO BAIXO LINHA PIRMA IMPACT CARVALHO SMOKED/GRAFITE
AP Móveis;ARMARIO BAIXO DUPLO LINHA PRIMA IMPACT CARVALHO SMOKED GRAFITE
AP Móveis;CAIXA DE TOMADA BASIC M MARZSO GRAFITE COM 2 TOMADAS
AP Móveis;ARQUIVO DE ACO COM 4 GAV (CH 26 - ROLAMENTO )
AP Móveis;FRIGOBAR 220V ELECTROLUX
AP Móveis;PERSIANA ROLO TELA SOLAR 5% BRANCA
AP Móveis;REFRIGERADOR DUP 334L CONSUL
AP Móveis;CADEIRA ESCRITORIO BASE GIRAT.
AP Móveis;CADEIRA EXECUTIVA BASE GIRATORIA C BR TEC PTO
AP Móveis;CADEIRA SECRETÁRIA
AP Móveis;MESA MONOBLOCO
AP Móveis;CADEIRA
AP Móveis;TV
AP Móveis;"MONITOR TV 32"""
AP Móveis;CADEIRA BASE GIRATORIA
AP Móveis;MONITORES TV/ PC
AP Móveis;CONDENSADORA SPLIT HW DUAL INVERTER
AP Móveis;EVAPORADORA SPLIT HW INVERTER
AP Móveis;AR CONDICIONADO
AP Obra Filial MG;CANTONEIRA 1.1/4 X 1/8POL.
AP Obra Filial MG;TELA Q 61 - 2,45 X 6,00 BRS
AP Obra Filial MG;INTER TUBO ESGOTO 100MM
AP Obra Filial MG;INTER TUBO ESGOTO 75MM
AP Obra Filial MG;INTER CURVA ESGOTO
AP Obra Filial MG;ADESIVO
AP Obra Filial MG;INTER TE REDUCAO ESGOTO
AP Obra Filial MG;CINTA PERFURADA ACO INOX 19 X 0,65MM
AP Obra Filial MG;ANEL ESGOTO 100 MM AMANCO
AP Obra Filial MG;ANEL ESGOTO 75MM AMANCO
AP Obra Filial MG;TE ESGOTO 100X100MM TIGRE
AP Obra Filial MG;GARRAFAO TERMICO 5,0 L
AP Obra Filial MG;ELETRODO
AP Obra Filial MG;MGM PORTA DE GIRO LAMINADA 2,15 X 090
AP Obra Filial MG;LUMINARIA HIGH BAY EMBULED
AP Obra Filial MG;ADESIVO
AP Obra Filial MG;JOELHO ESGOTO
AP Obra Filial MG;REDUCAO ESGOTO
AP Obra Filial MG;ANEL ESGOTO 100M
AP Obra Filial MG;ANEL ESOGTO 75M
AP Obra Filial MG;REGISTRO ESFERA
AP Obra Filial MG;FITA VEDA ROSCA
AP Obra Filial MG;ADESIVO PU
AP Obra Filial MG;JOELHO ESGOTO 100
AP Obra Filial MG;LUVA SOLDAVEL
AP Obra Filial MG;JOELHO 90
AP Obra Filial MG;ADAPTADOR
AP Obra Filial MG;LUVA PRESSAO
AP Obra Filial MG;INTER JOELHO 90
AP Obra Filial MG;INTER TUBO
AP Obra Filial MG;MANGUEIRA
AP Obra Filial MG;LUVA SOLDAVEL 20
AP Obra Filial MG;ADAPTADOR SOLDAVEL
AP Obra Filial MG;FITA ADESIVA
AP Obra Filial MG;CINTA PERFURADA
AP Obra Filial MG;ESMALTE LUSKCOLOR
AP Obra Filial MG;ACRILICO TRADICAO LUKSCOLOR BRANCO
AP Obra Filial MG;ACRILICO TRADICAO LUSKCOLOR GELO
AP Obra Filial MG;MASSA CORRIDA LUKSCOLOR
AP Obra Filial MG;ROLO DE LA 23 CM
AP Obra Filial MG;THINNER
AP Obra Filial MG;TRINCHAS
AP Obra Filial MG;TELHA TRANSLUCIDA ONDULADA 1MM LEITOSA
AP Obra Filial MG;TELHA GALVANIZADA 0,47 X 980 X 5400mm
AP Obra Filial MG;TELHA GALVANIZADA 0,47 X 980 X 5400mm
AP Obra Filial MG;TELHA GALVANIZADA 0,47 X 980 X 5400mm
AP Obra Filial MG;TELA Q 61 - 2,45 X 6,00 BRS
AP Obra Filial MG;ADESIVO
AP Obra Filial MG;SERRA COPO
AP Obra Filial MG;ADAPTADOR SERRA COPO
AP Obra Filial SJ;SERVIÇO MINI ESCAVADEIRA PERFURAÇÃO DE SOLO GALPAO NOVO 6 HORAS TRABALHADAS
AP Obra Filial SJ;LINHA PEDREIRO
AP Obra Filial SJ;PARAFUSO SEXTAVADO RI 3/4 X 3 POL. FE. ZB
AP Obra Filial SJ;PORCA SEXT. ZINC. UNC 3/4
AP Obra Filial SJ;ARRUELA LISA ZINCADO 3/4
AP Obra Filial SJ;JOELHO ESGOTO 90X150 MM
AP Obra Filial SJ;JOELHO ESGOTO 45X150 MM
AP Obra Filial SJ;TE ESGOTO 150X150 MM
AP Obra Filial SJ;TUBO ESGOTO 150 MM
AP Obra Filial SJ;ANEL TIGRE ESG 150 MM
AP Obra Filial SJ;PASTA LUBRIFICANTE ANEL ESGOTO
AP Obra Filial SJ;PRESTAÇÃO DE SERVIÇO USINAGEM BUCHAS
AP Obra Filial SJ;FRETE REF PTA OTTO PLATAFORMAS TRAZER MAQUINA PARA GEHFER
AP Obra Filial SJ;LOCAÇÃO DE BENS E EQUIPAMENTOS EM GERAL MAQUINA PTA
AP Obra Filial SJ;"PARAFUSO SEXTAVADO A325 UNC 5/8"" X 2.3/4 ZINCADO"
AP Obra Filial SJ;"PORCA SEXTAVADO A1942H 5/8"" ZINCADO"
AP Obra Filial SJ;"ARRUELA LISA F436 5/8"""
AP Obra Filial SJ;"PARAFUSO SEXTAVADO A325 UNC 5/8"" X 1.3/4"" ZINCADO"
AP Obra Filial SJ;SERVIÇO DE LOCAÇÃO DE CAMINHÃO MUNCK
AP Obra Filial SJ;SERVIÇO DE LOCAÇÃO DE CAMINHÃO MUNCK
AP Obra Filial SJ;LOCAÇÃO DE BENS E EQUIPAMENTOS EM GERAL MAQUINA PTA (06/01 a 04/02)
AP Obra Filial SJ;BARRA ROSCADA 1/2 UNC
AP Obra Filial SJ;CORDA 1,5 MM
AP Obra Filial SJ;"MANGUEIRA Ø3/8"""
AP Obra Filial SJ;ABRAÇADEIRA
AP Obra Filial SJ;PUNCAO
AP Obra Filial SJ;ESQUADRO STANLEY
AP Obra Filial SJ;SERVIÇO DE LOCAÇÃO DE CAMINHÃO MUNCK
AP Obra Filial SJ;SERVIÇO DE FERRAMENTA AFIAR BROCAS
AP Obra Filial SJ;CANALETA 14X19X39 ESTRUTURAL COM RANHURA
AP Obra Filial SJ;BLOCO 14X19X39 VEDAÇÃO FUNDO FECHADO
AP Obra Filial SJ;BLOCO 14X19X39 VEDAÇÃO FUNDO FECHADO
AP Obra Filial SJ;BLOCO 14X19X19 ESTRUTURAL FUNDO ABERTO
AP Obra Filial SJ;CANALETA 14X19X39 ESTRUTURAL COM RANHURA
AP Obra Filial SJ;CANALETA 14X19X19 ESTRUTURAL
AP Obra Filial SJ;BLOCO 14X19X39 VEDAÇÃO FUNDO FECHADO
AP Obra Filial SJ;CANALETA 14X19X39 ESTRUTURAL COM RANHURA
AP Obra Filial SJ;BROCA
AP Obra Filial SJ;CIMENTO CSN CO III 50 KG
AP Obra Filial SJ;LINHA PEDREIRO
AP Obra Filial SJ;ENGATE RAPIDO
AP Obra Filial SJ;ABRAÇADEIRA
AP Obra Filial SJ;LAPIS CARPINTEIRO
AP Obra Filial SJ;PNEU CARRINHO PEDREIRO
AP Obra Filial SJ;LUVA LATEX P
AP Obra Filial SJ;ARAME RECOZIDO N 12
AP Obra Filial SJ;PENEIRA CAFE REFORÇADA 80
AP Obra Filial SJ;TABUA DE PINUS 30
AP Obra Filial SJ;BOTINA RASPA 43
AP Obra Filial SJ;ESGUICHO RAPIDO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO DE SERVIÇO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
COMISSÃO DE VENDAS;PRESTAÇÃO SERVIÇOS DE TERCEIRO
CSP Devolução;BOBINA GALVANIZADA 1,10 X 1200  AZ 80
CSP Devolução;CH FF 0,90 X 1200 X 3000
CSP Devolução;CH FF 1,20 X 1200 X 2000
CSP Devolução;CH XDZ 2,65 X 1200 X 3000
CSP Devolução;CH ZN 1,25 X 1200 X 3000
CSP Devolução;BOBINA GALVALUME 0,47 X 1200 AZM 150
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 150
CSP Devolução;TB RT FF 100X50X1,50X6000
CSP Devolução;CH XDZ 2,65 X 1500 X 3000
CSP Devolução;TB RED ZN 50,80X1,10X6000
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 120
CSP Devolução;CH FQ 2,65 X 1200 X 3000
CSP Devolução;CH FQ 3,00 X 1200 X 3000
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 120
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;CH ZN 0,80 X 1200 X 3000
CSP Devolução;TB QD FF 50X50X1,20X6000
CSP Devolução;TB QD FF 20X20X1,20X6000
CSP Devolução;TB RT ZN 30X20X0,95X6000
CSP Devolução;TB QD ZN 20X20X1,25X6000
CSP Devolução;TB RT ZN 80X40X1,25X6000
CSP Devolução;TB QD ZN 20X20X0,95X6000
CSP Devolução;TB ZN 38,10X1,25X6000
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,40 X 1200  AZ 80
CSP Devolução;TB RT FF 50X30X0,90X6000
CSP Devolução;BOBINA GALVANIZADA 0,40 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,40 X 1200  AZ 80
CSP Devolução;BOBINA GALVANIZADA 0,40 X 1200  AZ 80
CSP Devolução;CH XDZ 3,00 X 1200 X 3000
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 120
CSP Devolução;TB RT FF 150X50X1,50X6000
CSP Devolução;TB RED FF 31,75X1,20X6000
CSP Devolução;TB RT FF 70X30X1,50X6000
CSP Devolução;PERFIL U 75X40X2,00X6000
CSP Devolução;TB RED FF 15,87X0,75X6000
CSP Devolução;TB RT FF 70X30X1,50X6000
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 120
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 120
CSP Devolução;CH XDZ 3,00 X 1200 X 3000
CSP Devolução;TB RT FF 50X30X1,20X6000
CSP Devolução;TB RT FQ 80X40X2,00X6000
CSP Devolução;BOBINA GALVALUME  0,40 X 1200 AZM 120
CSP Devolução;PERFIL UE 100X40X15X3,00X6000
CSP Devolução;CLAMP ACCESSORY PACK
CSP Mercadoria Revenda;BOBINA ZN 0,40 X 1200 (MM)
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 2500
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 2000
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 6000
CSP Mercadoria Revenda;BOBINA GALVALUME 0,38 X1200 X AZM 150
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 2000
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 2500
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 2000
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 2500
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 2000
CSP Mercadoria Revenda;CH FF 0,90 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 2000
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 2200
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 2100
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 3000
CSP Mercadoria Revenda;BOBINA GALVALUME  0,40 X 1200 AZM 150
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 3000
CSP Mercadoria Revenda;BOBINA GALVALUME  0,40 X 1200 AZM 150
CSP Mercadoria Revenda;TB RT FF 80X40X1,50X6000
CSP Mercadoria Revenda;TB RT FF 60X40X1,50X6000
CSP Mercadoria Revenda;TB RT FF 40X20X1,20X6000
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 3000
CSP Mercadoria Revenda;TUBO QD BQ 100 X 100 X 1,50 X 6000
CSP Mercadoria Revenda;TUBO QD BQ 80 X 80 X 1,50 X 6000
CSP Mercadoria Revenda;TB RT FF 30X20X1,20X6000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 2200
CSP Mercadoria Revenda;CH FF 1,20 X 1200 X 2300
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 3000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 2500
CSP Mercadoria Revenda;CH XD 3,00 X 1200 X 3000
CSP Mercadoria Revenda;TB RT FF 30X20X1,20X6000
CSP Mercadoria Revenda;TB RT FF 150X50X1,50X6000
CSP Mercadoria Revenda;TB RT FF 80X40X1,50X6000
CSP Mercadoria Revenda;TB QD FF 20X20X0,90X6000
CSP Mercadoria Revenda;PERFIL U 100X40X2,00X6000
CSP Mercadoria Revenda;CH FF 1,50 X 1200 X 6000
CSP Mercadoria Revenda;CH FF 1,20X1200X2000
CSP Mercadoria Revenda;BOBINA GALVALUME 0,47 X 1200 AZM 150
CSP Mercadoria Revenda;BOBINA GALVANIZADA 0,47 X 1200  AZ 80
CSP Mercadoria Revenda;BOBINA GALVALUME 0,35 X 1200 AZM 150
CSP Mercadoria Revenda;BOBINA GALVALUME 0,47 X 1200 AZM 150
CSP Mercadoria Revenda;CH XDZ 4,75 X 1200 X 6000
CSP Mercadoria Revenda;CH XDZ 4,75 X 1500 X 3000
CSP Serviço Terceiro;ZINCAGEM CLAMP ACCESSORY PACK
CSP Serviço Terceiro;ZINCAGEM CLAMP ACCESSORY PACK
CSP Serviço Terceiro;SERVIÇO DE REBOBINAR DOIS MOTORES DE DUPLA POLARIDADE CV 1,02/06 PONTE ROLANTE
CSP Serviço Terceiro;ZINCAGEM CLAMP ACCESSORY PACK
CSP Serviço Terceiro;LOCAÇÃO DE BENS E EQUIPAMENTOS EM GERAL
CSP Serviço Terceiro;PINTURA ELETROSTÁTICA
CSP Serviço Terceiro;"CHAPA PERFURADA DE INOX 3000X1200MM-ESPESSURA 4,00MM - COM FURO 3/8"""
CSP Serviço Terceiro;PRESTAÇÃO DE SERVIÇO BENEFICIAMENTO DE CORTE
CSP Serviço Terceiro;PINTURA ELETROSTÁTICA
CSP Serviço Terceiro;PINTURA ELETROSTÁTICA
CSP Serviço Terceiro;SERVIÇO DE LOCAÇÃO CAÇAMBA
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;PRESTAÇÃO DE SERVIÇO
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;DOCUMENTAÇÃO CAMINHÕES
CSP Serviço Terceiro;CLAMP ACCESSORY PACK
CSP Serviço Terceiro;QUADRO DE COMANDO 400X400X200
CSP Serviço Terceiro;LUKMA 14016 BOTÃO LK ED 25 2 POS
CSP Serviço Terceiro;DISJUNTOR 2P 25A LUKMA
CSP Serviço Terceiro;DISJUNTOR 2P 16A LUKMA
CSP Serviço Terceiro;TRILHO PARA MONTAGEM
CSP Serviço Terceiro;CONTATOR CJX2-4011 40A 220V LUKMA
CSP Serviço Terceiro;CANALETA 50X30
CSP Serviço Terceiro;ABRAÇADEIRA NYLONS 4,8 X 300
CSP Serviço Terceiro;KIT ROLO FITA ISOLANTE 10 M
CSP Serviço Terceiro;ABRAÇADEIRA NYLON 7,6 X 400
CSP Serviço Terceiro;KIT REFLETOR DE LED HOLOFOTE
CSP Serviço Terceiro;PARAFUSO AUTO BROCANTE SEXT C. VEDAÇÃO 5,5 X 19 MM
CSP Serviço Terceiro;PARAFUSO AUTO BROCANTE SEXT C. VEDACAO 5,5 X 25MM
CSP Serviço Terceiro;TELHA TRANSLUCIDA TRAPEZOIDAL 40 LEITOSA 1,00 MM
CSP Serviço Terceiro;SERVIÇO CORTE LASER - GALPÃO DO HAROLDO
CSP Serviço Terceiro;SERVIÇO CORTE LASER - CONFORMAÇÃO DE TELHA BARRACÃO HAROLDO
DA Bens de Pequeno Valor;FABRICAÇÃO MATRIZ INFERIOR DE CORTE ESTAMPO
DA Bens de Pequeno Valor;SWITCH TP-LINK 16 PORTAS TL-SG1016D SN-223A438002872
DA Bens de Pequeno Valor;CONJUNTO DELL SEM FIO DE TECLADO E MOUSE- KM3322W
DA Bens de Pequeno Valor;MOUSE MAX ULTRA COM FIO USB 2.0 1000DPI PRETO
DA Bens de Pequeno Valor;TECLADO PADRAO USB MAXPRINT COD 60814-5
DA Bens de Pequeno Valor;MOUSE OTICO SOFT CINZA 1200DPI  MAX PRINT
DA Bens de Pequeno Valor;TELEFONE HEADSET HSB 40
DA Bens de Pequeno Valor;MOUSE OTICO SOFT CINZA MAXPRINT
DA Bens de Pequeno Valor;BATERIA LITIO 3V CR2032
DA Bens de Pequeno Valor;CONECTOR RJ45 CATS WUETH
DA Bens de Pequeno Valor;BASE PARA MOUSE MIM - PRETO MAX
DA Bens de Pequeno Valor;MOUSE OTICO SEM FIO LECOO
DA Bens de Pequeno Valor;MOUSE OTICO SEM FIO 2.4G PRETO MAXPRINT
DA Bens de Pequeno Valor;MOUSE OTICO SEM FIO RC/NANO PRETO MAX PRINT
DA Bens de Pequeno Valor;ESTABILIZADOR ES-500VA BM 115V BEM LIGADO C3TECH
DA Bens de Pequeno Valor;UNIQUITI  AP UNIFI UAP -AC-LITE
DA Bens de Pequeno Valor;FREE 970 (50KG)
DA Bens de Pequeno Valor;PULVERIZADOR (GUARANY) DE COM PRESSAO
DA Bens de Pequeno Valor;CAPACHO 80X60 PERSONALIZADO
DA Bens de Pequeno Valor;CARRO FUNCIONAL - CINZA
DA Bens de Pequeno Valor;CONVERSOR DE PROTOCOLO IP ATA 200
DA Bens de Pequeno Valor;HEADSET HSB40
DA Bens de Pequeno Valor;TELEFONE TS 2510 INTELBRAS PTO
DA Bens de Pequeno Valor;CAR HYC 015
DA Bens de Pequeno Valor;GARRAFA TERMICA 3L INOX
DA Bens de Pequeno Valor;EXTENSOR DE TELA NOTEBOOK
DA Bens de Pequeno Valor;CARREGADOR DE PILHAS RECARREGÁVEIS DURACELL Aa/aaa Com 4 Aa
DA Bens de Pequeno Valor;CADEIRA SECRET BASE GIRATORIA
DA Bens de Pequeno Valor;PLACA MOTHERBOARD DUEX DX H110ZG DDR4
DA Bens de Pequeno Valor;PROCESSADOR INTEL CORE I3 6100
DA Bens de Pequeno Valor;COOLER PROCESSADOR INTEL 20281
DA Bens de Pequeno Valor;MEMORIA 8GB DDR4 2666MHZ
DA Bens de Pequeno Valor;SSD 240GB PATRIOT BURST PE000776
DA Bens de Pequeno Valor;GABINETE PADRAO BRAZILFC N110MATX B M255
DA Bens de Pequeno Valor;FONTE ATX 230W BRAZIL PC
DA Bens de Pequeno Valor;KIT TECLADO E MOUSE EXAGON SEM FIO
DA Bens de Pequeno Valor;ESTABILIZADOR ES 300VA
DA Bens de Pequeno Valor;BASE PARA MOUSE MIN
DA Bens de Pequeno Valor;MOUSEPAD GAMER EG400 EVOLUT
DA Bens de Pequeno Valor;CADEIRA CAIXA ALTA COM RODIZIOS URBAN
DA Bens de Pequeno Valor;VENTILADOR MONDIAL
DA Bens de Pequeno Valor;MONITOR GAMER IPS 23.8 FULL HD LG 75HZ
DA Bens de Pequeno Valor;MONITOR GAMER IPS 23.8 FULL HD LG 75HZ
DA Bens de Pequeno Valor;MOUSE AIRY SEM FIO 2,4 G 1600DPI PRETO MAXPRINT
DA Bens de Pequeno Valor;PILHA ALCALINA MAX AA PEQ C/2 AA MAXPRINT
DA Bens de Pequeno Valor;TECLADO E MOUSE EXAGON SEM FIO USB 2.O PRETO
DA Bens de Pequeno Valor;PILHA ALCALINA ELGIN AA LR6
