DESCRI;DESC_PLA;DATA;BASE
TB RT FF 50X30X1,06X6000;CSP Mercadoria Revenda;06/02/2024 16:12;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/02/2024 16:12;B
CH XDZ 2,65 X 1200 X 3000;CSP Mercadoria Revenda;06/02/2024 17:13;B
TB QD FF 40X40X1,50X6000;CSP Mercadoria Revenda;06/02/2024 17:15;B
TB ZN 50X20X0,80X6000;CSP Mercadoria Revenda;07/02/2024 07:46;B
TB QD FF 30X30X0,90X6000;CSP Mercadoria Revenda;06/02/2024 17:25;B
TB ZN 50X20X0,80X6000;CSP Mercadoria Revenda;07/02/2024 07:50;B
TB ZN 50X20X0,95X6000;CSP Mercadoria Revenda;07/02/2024 07:50;B
TB ZN 40X40X1,25X6000;CSP Mercadoria Revenda;07/02/2024 07:52;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/02/2024 07:52;B
CH FF 0,90 X 1200 X 2000;CSP Mercadoria Revenda;08/02/2024 14:07;B
TB QD FF 30X30X0,90X6000;CSP Mercadoria Revenda;08/02/2024 14:14;B
TB RT FF 60X40X1,00X6000;CSP Mercadoria Revenda;08/02/2024 14:23;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;08/02/2024 14:23;B
CH FQ 2,00 X 1200 X 3000;CSP Mercadoria Revenda;08/02/2024 14:25;B
CH FF 1,50 X 1200 X 3000;CSP Mercadoria Revenda;08/02/2024 14:40;B
CH FF 1,20 X 1200 X 3000;CSP Mercadoria Revenda;09/02/2024 09:09;B
TB RT FF 70X30X1,20X6000;CSP Mercadoria Revenda;20/02/2024 10:37;B
TB RT FF 70X30X1,50X6000;CSP Mercadoria Revenda;20/02/2024 10:37;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;20/02/2024 10:37;B
TB RT FF 70X30X1,50X6000;CSP Mercadoria Revenda;20/02/2024 10:51;B
TB RT FF 80X40X1,50X6000;CSP Mercadoria Revenda;20/02/2024 10:53;B
TB QD FF 30X30X1,06X6000;CSP Mercadoria Revenda;20/02/2024 13:09;B
TB QD FQ 100X100X1,50X6000;CSP Mercadoria Revenda;20/02/2024 13:09;B
TB RT FQ 40X20X1,50X600;CSP Mercadoria Revenda;20/02/2024 13:09;B
TB QD FF 30X30X1,20X6000;CSP Mercadoria Revenda;20/02/2024 13:09;B
TB QD FQ 100X100X2,00X6000;CSP Mercadoria Revenda;20/02/2024 13:09;B
TB RT FQ 50X30X1,50X6000;CSP Mercadoria Revenda;20/02/2024 13:25;B
CH XDZ 3,00 X 1200 X 3000;CSP Mercadoria Revenda;20/02/2024 13:29;B
CH XDZ 2,65 X 1200 X 3000;CSP Mercadoria Revenda;20/02/2024 13:29;B
TB RT FF 50X30X1,20X6000;CSP Mercadoria Revenda;21/02/2024 11:27;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;21/02/2024 11:27;B
TB QD FF 40X40X1,20X6000;CSP Mercadoria Revenda;21/02/2024 11:27;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;21/02/2024 11:27;B
TB QD FF 40X40X1,06X6000;CSP Mercadoria Revenda;21/02/2024 11:27;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;21/02/2024 11:27;B
TB RD FQ 76,20X1,50X6000;CSP Mercadoria Revenda;21/02/2024 16:51;B
CH FF 1,50 X 1200 X 3000;CSP Mercadoria Revenda;22/02/2024 11:05;B
CH FF 1,50 X 1200 X 3000;CSP Mercadoria Revenda;22/02/2024 11:05;B
CH FF 1,50 X 1200 X 3000;CSP Mercadoria Revenda;22/02/2024 11:05;B
CH FF 1,20 X 1200 X 3000;CSP Mercadoria Revenda;22/02/2024 11:05;B
CH FF 1,50 X 1200 X 2200;CSP Mercadoria Revenda;22/02/2024 11:05;B
CH FF 1,20 X 1200 X 2300;CSP Mercadoria Revenda;22/02/2024 11:05;B
PERFIL U 100X40X2,65X6000;CSP Mercadoria Revenda;22/02/2024 11:49;B
TB RT FF 70X30X1,50X6000;CSP Mercadoria Revenda;22/02/2024 13:11;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;22/02/2024 13:11;B
TB RT FF 30X20X0,90X6000;CSP Mercadoria Revenda;23/02/2024 13:56;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;23/02/2024 13:56;B
TB RT FF 50X30X0,90X6000;CSP Mercadoria Revenda;23/02/2024 14:01;B
TB ZN 50X20X0,95X6000;CSP Mercadoria Revenda;26/02/2024 08:57;B
TB QD FF 40X40X1,50X6000;CSP Mercadoria Revenda;26/02/2024 08:59;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 08:59;B
PERFIL U 75X40X3,00X6000;CSP Mercadoria Revenda;26/02/2024 09:23;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 09:23;B
TB RED FQ 38,10X2,00X6000;CSP Mercadoria Revenda;26/02/2024 11:34;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 11:35;B
TB QD FF 50X50X1,06X6000;CSP Mercadoria Revenda;26/02/2024 12:52;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 12:53;B
TB RT FF 40X20X1,06X6000;CSP Mercadoria Revenda;26/02/2024 13:30;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 12:56;B
TB RT FF 50X30X1,06X6000;CSP Mercadoria Revenda;26/02/2024 13:30;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 12:59;B
CH FF 0,90 X 1200 X 3000;CSP Mercadoria Revenda;26/02/2024 14:56;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 14:55;B
TB RT FF 150X50X1,50X6000;CSP Mercadoria Revenda;26/02/2024 15:02;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 15:04;B
TB ZN 60X40X1,55X6000;CSP Mercadoria Revenda;26/02/2024 15:15;B
TB QD FF 50X50X1,20X6000;CSP Mercadoria Revenda;26/02/2024 15:19;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 15:20;B
TB QD FF 50X50X1,50X6000;CSP Mercadoria Revenda;26/02/2024 15:23;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 15:23;B
TB RT FF 60X40X1,20X6000;CSP Mercadoria Revenda;26/02/2024 15:26;B
TB QD FF 15X15X0,75X6000;CSP Mercadoria Revenda;26/02/2024 15:31;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 15:32;B
TB QD FF 20X20X0,75X6000;CSP Mercadoria Revenda;26/02/2024 15:35;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 15:35;B
TB QD FF 20X20X1,06X6000;CSP Mercadoria Revenda;26/02/2024 15:39;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;26/02/2024 15:40;B
CH FF 1,50 X 1200 X 3000;CSP Mercadoria Revenda;26/02/2024 15:48;B
CH FF 1,50 X 1200 X 2500;CSP Mercadoria Revenda;26/02/2024 15:51;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;27/02/2024 14:03;B
CH FF 1,06 X 1200 X 3000;CSP Mercadoria Revenda;27/02/2024 08:38;B
CH FF 1,20 X 1200 X 2000;CSP Mercadoria Revenda;27/02/2024 08:47;B
CH FF 1,20 X 1200 X 2500;CSP Mercadoria Revenda;27/02/2024 08:48;B
CH FF 0,90 X 1200 X 2500;CSP Mercadoria Revenda;27/02/2024 08:50;B
CH FF 1,20 X 1200 X 2000;CSP Mercadoria Revenda;27/02/2024 09:10;B
CH FF 1,20 X 1200 X 2500;CSP Mercadoria Revenda;27/02/2024 09:10;B
TB QD FF 40X40X1,20X6000;CSP Mercadoria Revenda;27/02/2024 09:35;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;27/02/2024 09:35;B
TB RT FQ 100X40X1,50X6000;CSP Mercadoria Revenda;27/02/2024 09:37;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;27/02/2024 09:38;B
TB QD FF 40X40X1,20X6000;CSP Mercadoria Revenda;27/02/2024 09:39;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;27/02/2024 09:40;B
TB RT FQ 50X30X2,00X6000;CSP Mercadoria Revenda;27/02/2024 09:59;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;27/02/2024 13:58;B
TB QD FF 30X30X1,50X6000;CSP Mercadoria Revenda;27/02/2024 13:25;B
TB QD FF 30X30X1,20X6000;CSP Mercadoria Revenda;27/02/2024 13:28;B
TB ZN 30X30X1,55X6000;CSP Mercadoria Revenda;27/02/2024 13:33;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;27/02/2024 13:34;B
TB QD FF 20X20X0,90X6000;CSP Mercadoria Revenda;27/02/2024 14:29;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;27/02/2024 14:29;B
TB QD FF 20X20X1,20X6000;CSP Mercadoria Revenda;27/02/2024 14:31;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;27/02/2024 14:32;B
TB RT FF 60X40X1,06X6000;CSP Mercadoria Revenda;28/02/2024 10:58;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 10:59;B
TB ZN 60X40X1,20X6000;CSP Mercadoria Revenda;28/02/2024 15:15;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:15;B
PERFIL U 127X50X2,65X6000;CSP Mercadoria Revenda;28/02/2024 15:18;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:18;B
PERFIL U 150X50X2,65X6000;CSP Mercadoria Revenda;28/02/2024 15:20;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:21;B
TB RED FQ 38,10X2,00X6000;CSP Mercadoria Revenda;28/02/2024 15:28;B
TB RT FF 30X20X1,20X6000;CSP Mercadoria Revenda;28/02/2024 15:31;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:32;B
TB RED FF 15,87X0,75X6000;CSP Mercadoria Revenda;28/02/2024 15:36;B
TB RED FF 19,05X0,75X6000;CSP Mercadoria Revenda;28/02/2024 15:39;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:39;B
TB RED FQ 50,80X2,00X6000;CSP Mercadoria Revenda;28/02/2024 15:42;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:43;B
TB QD FF 20X20X0,90X6000;CSP Mercadoria Revenda;28/02/2024 15:45;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:45;B
TB ZN 30X20X1,55X6000;CSP Mercadoria Revenda;28/02/2024 15:58;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 15:58;B
TB QD FQ 40X40X2,00X6000;CSP Mercadoria Revenda;28/02/2024 16:01;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 16:03;B
TB QD FQ 50X50X2,00X6000;CSP Mercadoria Revenda;28/02/2024 16:04;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 16:05;B
TB RT FQ 50X30X2,00X6000;CSP Mercadoria Revenda;28/02/2024 16:06;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 16:07;B
TB QD FF 40X40X1,50X6000;CSP Mercadoria Revenda;28/02/2024 16:10;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 16:11;B
TB RED FF 19,05X1,20X6000;CSP Mercadoria Revenda;28/02/2024 16:13;B
TB RED FF 15,87X0,75X6000;CSP Mercadoria Revenda;28/02/2024 16:18;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 16:19;B
TB QD FF 20X20X0,90X6000;CSP Mercadoria Revenda;28/02/2024 16:21;B
TB RT FF 30X20X1,20X6000;CSP Mercadoria Revenda;28/02/2024 17:10;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:10;B
TB QD FF 20X20X0,90X6000;CSP Mercadoria Revenda;28/02/2024 17:16;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:17;B
TB QD FF 20X20X1,20X6000;CSP Mercadoria Revenda;28/02/2024 17:18;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:19;B
TB QD FF 15X15X0,90X6000;CSP Mercadoria Revenda;28/02/2024 17:25;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:26;B
TB QD FF 40X40X1,06X6000;CSP Mercadoria Revenda;28/02/2024 17:27;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:28;B
TB RT FF 30X20X1,06X6000;CSP Mercadoria Revenda;28/02/2024 17:29;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:30;B
TB RT FF 40X20X0,90X6000;CSP Mercadoria Revenda;28/02/2024 17:31;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;28/02/2024 17:32;B
TB QD FF 20X20X1,20X6000;CSP Mercadoria Revenda;29/02/2024 09:06;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;29/02/2024 09:07;B
TB QD FF 30X30X1,06X6000;CSP Mercadoria Revenda;29/02/2024 14:46;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;29/02/2024 14:46;B
PERFIL UE 100X40X15X2,25X6000;CSP Mercadoria Revenda;29/02/2024 14:48;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;29/02/2024 14:49;B
CH FF 1,06 X 1200 X 2500;CSP Mercadoria Revenda;29/02/2024 14:53;B
CH FF 0,90 X 1200 X 3000;CSP Mercadoria Revenda;29/02/2024 15:05;B
CH FF 0,90 X 1200 X 3000;CSP Mercadoria Revenda;29/02/2024 15:08;B
TB RT FF 150X50X1,50X6000;CSP Mercadoria Revenda;01/03/2024 08:49;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;01/03/2024 14:55;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;01/03/2024 15:00;B
TB RT FQ 15X50X1,50X6000;CSP Mercadoria Revenda;04/03/2024 11:18;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;04/03/2024 11:19;B
TB QD FF 20X20X1,20X6000;CSP Mercadoria Revenda;04/03/2024 11:23;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;04/03/2024 11:21;B
BOBINA GALVALUME  0,40 X 1200 AZM 150;CSP Mercadoria Revenda;04/03/2024 13:29;B
BOBINA GALVALUME  0,40 X 1200 AZM 150;CSP Mercadoria Revenda;04/03/2024 16:45;B
TB QD FF 30X30X1,20X6000;CSP Mercadoria Revenda;04/03/2024 16:51;B
TB QD FF 30X30X1,20X6000;CSP Mercadoria Revenda;04/03/2024 16:54;B
TB QD FF 20X20X0,90X6000;CSP Mercadoria Revenda;04/03/2024 16:55;B
TB ZN 40X20X1,10X6000;CSP Mercadoria Revenda;04/03/2024 17:07;B
PERFIL U 100X50X3,00X6000;CSP Mercadoria Revenda;04/03/2024 17:10;B
TB ZN 80X40X1,10X6000;CSP Mercadoria Revenda;04/03/2024 17:12;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;04/03/2024 17:13;B
PERFIL U 127X50X3,00X6000;CSP Mercadoria Revenda;04/03/2024 17:15;B
TB RT FQ 50X30X2,00X6000;CSP Mercadoria Revenda;04/03/2024 17:17;B
BOBINA GALVALUME  0,40 X 1200 AZM 150;CSP Mercadoria Revenda;05/03/2024 11:04;B
TB RED FF 15,87X0,75X6000;CSP Mercadoria Revenda;05/03/2024 13:51;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;05/03/2024 13:52;B
TB RED FF 15,87X0,90X6000;CSP Mercadoria Revenda;05/03/2024 13:53;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;05/03/2024 13:54;B
TB RED FF 15,87X1,20X6000;CSP Mercadoria Revenda;05/03/2024 13:58;B
TB RED FF 19,05X0,90X6000;CSP Mercadoria Revenda;05/03/2024 14:00;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;06/03/2024 09:51;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;06/03/2024 09:54;B
TB RED FF 25,40X1,20X6000;CSP Mercadoria Revenda;06/03/2024 10:15;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/03/2024 10:16;B
TB RED FF 101,60X1,50X6000;CSP Mercadoria Revenda;06/03/2024 10:20;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/03/2024 10:21;B
TB QD FF 15X15X0,75X6000;CSP Mercadoria Revenda;06/03/2024 17:39;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/03/2024 17:40;B
TB QD FF 15X15X1,20X6000;CSP Mercadoria Revenda;06/03/2024 17:42;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/03/2024 17:43;B
TB QD FF 20X20X0,75X6000;CSP Mercadoria Revenda;06/03/2024 17:46;B
TB QD FF 20X20X1,20X6000;CSP Mercadoria Revenda;06/03/2024 17:48;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/03/2024 17:48;B
CH FF 1,50 X 1200 X 6000;CSP Mercadoria Revenda;06/03/2024 17:55;B
CH FF 1,20 X 1200 X 6000;CSP Mercadoria Revenda;06/03/2024 18:16;B
CH FQ 2,00 X 1200 X 3000;CSP Mercadoria Revenda;06/03/2024 18:42;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;06/03/2024 18:43;B
TB RT FF 40X20X0,90X6000;CSP Mercadoria Revenda;07/03/2024 11:17;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 11:18;B
TB RT FF 40X20X1,50X6000;CSP Mercadoria Revenda;07/03/2024 11:20;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 11:31;B
TB RT FF 50X30X1,20X6000;CSP Mercadoria Revenda;07/03/2024 11:27;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 11:28;B
TB RED FF 22,22X1,20X6000;CSP Mercadoria Revenda;07/03/2024 11:34;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 11:34;B
TB RED FF 38,10X1,20X6000;CSP Mercadoria Revenda;07/03/2024 11:35;B
TB ZN 15X15X0,95X6000;CSP Mercadoria Revenda;07/03/2024 13:04;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 13:05;B
TB ZN 20X20X1,25X6000;CSP Mercadoria Revenda;07/03/2024 13:09;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 13:10;B
TB ZN 30X30X1,25X6000;CSP Mercadoria Revenda;07/03/2024 13:14;B
TB ZN 80X40X1,10X6000;CSP Mercadoria Revenda;07/03/2024 13:41;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 13:42;B
TB ZN 80X40X1,25X6000;CSP Mercadoria Revenda;07/03/2024 13:43;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 13:43;B
PERFIL U 50X25X2,00X6000;CSP Mercadoria Revenda;07/03/2024 13:47;B
PERFIL U 150X50X3,00X6000;CSP Mercadoria Revenda;07/03/2024 13:49;B
TB RED FF 19,05X0,75X6000;CSP Mercadoria Revenda;07/03/2024 14:00;B
TB RED FF 22,22X0,90X6000;CSP Mercadoria Revenda;07/03/2024 14:03;B
TB RED FF 31,75X1,20X6000;CSP Mercadoria Revenda;07/03/2024 14:04;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 14:05;B
TB RED FF 31,75X1,50X6000;CSP Mercadoria Revenda;07/03/2024 14:06;B
TB RED FF 38,10X1,50X6000;CSP Mercadoria Revenda;07/03/2024 14:08;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 14:09;B
TB RT FF 70X30X1,50X6000;CSP Mercadoria Revenda;07/03/2024 14:47;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 14:48;B
TB RT FQ 100X50X2,00X6000;CSP Mercadoria Revenda;07/03/2024 14:51;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 14:52;B
CH GR 9,50 X 1200 X 3000;CSP Mercadoria Revenda;07/03/2024 14:53;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 14:54;B
TB RT FF 30X20X0,90X6000;CSP Mercadoria Revenda;07/03/2024 15:07;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 15:08;B
TB RT FF 50X30X0,90X6000;CSP Mercadoria Revenda;07/03/2024 15:09;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 15:13;B
TB RT FF 50X30X1,50X6000;CSP Mercadoria Revenda;07/03/2024 15:14;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;07/03/2024 15:15;B
BOBINA FINA FRIO 1,20 X 1200;CSP Mercadoria Revenda;20/03/2024 11:09;B
CH FQ 2,65 X 1200 X 3000;CSP Mercadoria Revenda;08/03/2024 09:00;B
CH GR 4,75 X 1200 X 3000;CSP Mercadoria Revenda;08/03/2024 09:02;B
CH FQ 2,00 X 1200 X 6000;CSP Mercadoria Revenda;08/03/2024 09:05;B
DIVERGENCIA DE ENTRADA;CSP Mercadoria Revenda;08/03/2024 09:06;B
BOBINA GALVANIZADA 0,47 X 1200  AZ 80;CSP Mercadoria Revenda;08/03/2024 09:31;B
